Type,Left,Right,Similarity
syn, السوفيتي, السوفييتي, 
syn, الآية, poetise, 
syn, مراقبة, التحكم, 
syn, مداره, دائرة, 
syn, محايد, جامد, 
syn, تحتاج, يستلزم, 
syn, بنسيلفانيا, بنسلفانيا, 
syn, مدارس, تعليم, 
syn, شيعة, فصيل, 
syn, الحارة, حنون, 
syn, الحارث, براز, 
syn, وقت, ساعة, 
syn, السنين, سن, 
syn, وقع, الإيمائي, 
syn, الأزرق, مزرق, 
syn, الحملة, جولة, 
syn, تجاوز, ألغى, 
syn, يلعب, لعب, 
syn, بحث, بحث, 
syn, الصليب, مستعرض, 
syn, عبد, المقعدية, 
syn, الظهر, يوم, 
syn, ببعض, تقريبا, 
syn, الدوران, ثورة, 
syn, عبر, بالعرض, 
syn, إغلاق, النهاية, 
syn, تظهر, عرض, 
syn, التجاري, تعامل, 
syn, قسم, قسم, 
syn, مركبة, نقل, 
syn, يشمل, اعترف, 
syn, راديو, نقل, 
syn, غينيا, ووب, 
syn, والد, انجب, 
syn, فلسطيني, فلسطيني, 
syn, الملوك, ريكس, 
syn, العصر, عصر, 
syn, أسلوب, عنوان, 
syn, غزو, زحف, 
syn, الشريعة, الشريعة, 
syn, دلتا, تشكيل, 
syn, الصوديوم, نا, 
syn, طروادة, مدينة, 
syn, القسم, قطعة, 
syn, الرسمية, الموظف, 
syn, بولس, بول, 
syn, فضاء, وضع, 
syn, بارزة, معلقة, 
syn, بري, الجامح, 
syn, الكتابة, تأليف, 
syn, صحافة, صحافة, 
syn, متلازمة, مجمع, 
syn, مهاجمو, معتدي, 
syn, غزة, غزة, 
syn, ثابتة, مجموعة, 
syn, الترجمة, أداء, 
syn, المحيطة, circumferent, 
syn, المجلات, خرطوشة, 
syn, حضارات, حضارة, 
syn, كويتي, كويتي, 
syn, حقائق, مفهوم, 
syn, مدرب, قطار, 
syn, الحقيقي, موجود, 
syn, الكلية, الجسم, 
syn, تشيكوسلوفاكيا, تشيكوسلوفاكيا, 
syn, وسائل, وكالة, 
syn, الحقيقة, الحقيقة, 
syn, تمييز, محسوبية, 
syn, التعليق, إشعار, 
syn, التعليم, تعليمات, 
syn, الثورة, دوران, 
syn, الترتيب, متفوق, 
syn, أخطاء, خطأ, 
syn, السلطة, ترخيص, 
syn, لخدمة, خدمة, 
syn, رقمية, ملحق, 
syn, سيارات, السيارات, 
syn, انتخاب, الاختيار, 
syn, للمجلس, جمعية, 
syn, القانون, فقه, 
syn, القبة, علية, 
syn, المتحركة, حياة, 
syn, الأحداث, حالة, 
syn, مكتبة, تراكم, 
syn, لحركة, حركة, 
syn, يحضر, بحث, 
syn, طيران, ريش, 
syn, لبرنامج, برنامج, 
syn, اليهود, اليهودي, 
syn, ميونخ, ميونيخ, 
syn, أطلق, إنشاء, 
syn, النفسية, العلوم, 
syn, نسبيا, نسبيا, 
syn, ماكس, صابون, 
syn, دبي, دبي, 
syn, جيل, coevals, 
syn, جين, عامل, 
syn, المجاورة, المجاور, 
syn, المقال, ربط, 
syn, كاليفورنيا, كاليفورنيا, 
syn, جيد, كامل, 
syn, مباني, صرح, 
syn, شهاب, نيزك, 
syn, التعلم, اكتساب, 
syn, المسلسلات, متتابع, 
syn, جيش, جيش, 
syn, قمة, تحقيق, 
syn, هاتف, مكالمة, 
syn, جورجيا, جورجيا, 
syn, قمر, عرض, 
syn, الرائد, افتح, 
syn, ذكر, مانفول, 
syn, لسان, حضن, 
syn, المرتبطة, قريب, 
syn, المدني, مهذب, 
syn, أشكال, تنظم, 
syn, إيطالي, الإيطالي, 
syn, قالب, templet, 
syn, تلوث, العيب, 
syn, أغلب, حول, 
syn, نووية, الذري, 
syn, مزرعة, تنمو, 
syn, 2, الثاني, 
syn, إشارات, إشارة, 
syn, برامج, برنامج, 
syn, أضف, ألحق, 
syn, فيكتور, سيد, 
syn, الرحلة, ريش, 
syn, معرض, معرض, 
syn, العزلة, اغلاق, 
syn, رياضي, جوك, 
syn, الجدد, طازج, 
syn, لايف, نطاط, 
syn, خربة, هدم, 
syn, تجنب, حرم, 
syn, اقتراح, اقتراح, 
syn, تعود, عودة, 
syn, بنية, تنسيق, 
syn, بنيت, عززت, 
syn, اس, ثانية, 
syn, المسيحية, مسيحية, 
syn, أمراء, الأرستقراطي, 
syn, العليا, سيادة, 
syn, الشهادة, يأذن, 
syn, أمراض, مرض, 
syn, أربع, 4, 
syn, ترتيب, اتفاقية, 
syn, ضواحي, الضواحي, 
syn, الرعاية, أتمنى, 
syn, بالقرب, أغلق, 
syn, آدم, آدم, 
syn, ملكية, حيازة, 
syn, كفر, قرية, 
syn, الهجوم, جولة, 
syn, سرعة, اندفاع, 
syn, الإذاعة, متوسط, 
syn, الحديثة, حديث, 
syn, اف, الفلور, 
syn, مرشحة, حملة, 
syn, معين, بالتأكيد, 
syn, النزاع, فواجه, 
syn, او, OR, 
syn, إنتر, دفن, 
syn, لصالح, تفضل, 
syn, الزرقاء, مزرق, 
syn, العمل, الساحبة, 
syn, قصر, قلعة, 
syn, قصة, سرد, 
syn, ديمقراطية, جمهورية, 
syn, وصل, تأتي, 
syn, أربعين, 40, 
syn, الموسم, نكهة, 
syn, وصف, وصف, 
syn, إثيوبيا, أثيوبيا, 
syn, صحراء, ضائع, 
syn, الحبوب, غرس, 
syn, تبعد, بلدة, 
syn, قصف, قصف, 
syn, أخذ, أخذ, 
syn, الهدف, هدف, 
syn, خان, caravansary, 
syn, ضرورة, أساسي, 
syn, وايت, فراغ, 
syn, الرمز, symbolisation, 
syn, فشل, إهمال, 
syn, مباشرة, مباشرة, 
syn, فكرة, فكر, 
syn, وجنوب, حلف, 
syn, كونت, عدد, 
syn, المعالجة, معالجة, 
syn, الأنباء, استخبارات, 
syn, خاص, استثنائي, 
syn, عسكري, انضباط, 
syn, ظاهرة, تنمية, 
syn, الحضارات, حضارة, 
syn, خدمة, خدمة, 
syn, الهند, الهند, 
syn, الهادئ, مسالم, 
syn, المصطلحات, تسمية, 
syn, انقلاب, انقلاب, 
syn, قومية, طموح, 
syn, يجري, beingness, 
syn, يمني, اليمني, 
syn, القارئ, مكتتب, 
syn, القارة, قارة, 
syn, المختصر, حفر, 
syn, بعثة, تهمة, 
syn, الألفية, ألفي, 
syn, خبرة, تجربة, 
syn, مخصصة, استعمال, 
syn, انضم, نلتقي, 
syn, الجوي, هواء, 
syn, خلاصة, الطبلة, 
syn, الجوف, فارغ, 
syn, الجغرافية, الجغرافية, 
syn, الخمس, 5, 
syn, ساعد, مساعدة, 
syn, ساعة, ساعة, 
syn, عصر, عصر, 
syn, التاريخ, تاريخ, 
syn, يبين, عرض, 
syn, منهج, برنامج, 
syn, العشرين،, 20, 
syn, تزال, ساكن, 
syn, السنة, سنة, 
syn, هائلة, هائل, 
syn, السنوي, سنويا, 
syn, الأردنية, الأردن, 
syn, ابن, صبي, 
syn, التاسع, تسعة, 
syn, أيضا, جدا, 
syn, تغطية, التقارير, 
syn, جون, مرحاض, 
syn, ويوجد, موقع, 
syn, جوي, غازي, 
syn, دخل, ادخل, 
syn, المرجعية, استشهد, 
syn, الإرهاب, إكراه, 
syn, سيف, شفرة, 
syn, بن, تخزين, 
syn, به, الماضي, 
syn, بل, مجرد, 
syn, الدولة, حالة, 
syn, الدرجة, صنف, 
syn, سير, رجل, 
syn, الحيوان, جسدي, 
syn, بت, بقعة, 
syn, بث, هواء, 
syn, شرقية, شرقي, 
syn, بد, عفونة, 
syn, ميدان, إجابة, 
syn, الدولي, خارجي, 
syn, با, الباريوم, 
syn, يشعر, تجربة, 
syn, نهاية, توقف, 
syn, المخطط, تآمر, 
syn, 63, LXIII, 
syn, قرطبة, قرطبة, 
syn, 65, LXV, 
syn, يقف, الوقوف, 
syn, اليونسكو, اليونسكو, 
syn, ليست, غير, 
syn, طيف, نطاق, 
syn, الصباح, الضحى, 
syn, 68, LXVIII, 
syn, نسيج, حرف, 
syn, قاموس, معجم, 
syn, قراءة, إشارة, 
syn, السنوية, سنويا, 
syn, معيار, معيار, 
syn, التكلفة, يكون, 
syn, البعثة, تهمة, 
syn, نشأة, الأصل, 
syn, توم, توم, 
syn, الشرقي, شرقا, 
syn, يتألف, يسكن, 
syn, يستطيع, قصدير, 
syn, أسسها, تستند, 
syn, مظاهر, الظهور, 
syn, إسم, مكالمة, 
syn, تفصيلي, يفصل, 
syn, حمل, المواصلات, 
syn, الجزائرية, جزائري, 
syn, الظاهرة, تنمية, 
syn, مهندس, مباشرة, 
syn, الشمالي, شمالي, 
syn, مواصفات, المواصفات, 
syn, حيوان, جسدي, 
syn, إيران, إيران, 
syn, الكويكبات, الكويكب, 
syn, البحوث, بحث, 
syn, للقرية, بلدة, 
syn, الحدث, حالة, 
syn, تتجاوز, تجاوز, 
syn, أئمة, imaum, 
syn, مستعار, مخطئ, 
syn, الشعوب, الناس, 
syn, الشعور, الانطباع, 
syn, 500, خمسمائة, 
syn, إسب, استبصار, 
syn, ينتج, تؤدي, 
syn, حياة, المعيشة, 
syn, الشمالية, اتحاد, 
syn, الأساسية, شريعي, 
syn, السائل, شفاف, 
syn, الأجنحة, وكالة, 
syn, زهرة, إزهار, 
syn, تي, الثايمين, 
syn, تل, تشكيل, 
syn, بالجمهورية, ديمقراطية, 
syn, الحاسب, figurer, 
syn, الصناعة, صناعة, 
syn, العودة, تكرر, 
syn, تص, الثايمين, 
syn, تر, رؤية, 
syn, فصيلة, الأسرة, 
syn, قسنطينة, قسنطينة, 
syn, الأصوات, تصويت, 
syn, الحضيض, أسفل, 
syn, جدران, جرف, 
syn, تصويت, تصويت, 
syn, النماذج, مثالي, 
syn, بالألمانية, ألماني, 
syn, الإكتشاف, إيجاد, 
syn, المنتخب, aggroup, 
syn, الطلب, يستلزم, 
syn, القاعدة, القاعدة, 
syn, الطائفة, فصيل, 
syn, توفير, العرض, 
syn, مهم, الاستيراد, 
syn, طلاب, تلميذ, 
syn, الكمال, flawlessness, 
syn, منغوليا, منغوليا, 
syn, جماعية, الشركات, 
syn, أقام, تشكل, 
syn, المناسب, مفيد, 
syn, الإدارة, تصرف, 
syn, الإيرادات, إجمالي, 
syn, الملكية, أوتوقراطية, 
syn, واضح, فتح, 
syn, واضع, تشكل, 
syn, اشتهرت, مشهور, 
syn, الخروج, اخرج, 
syn, المعرفة, معرفة, 
syn, ذهب, سفر, 
syn, النرويج, النرويج, 
syn, تشغيل, خطي, 
syn, الإنتاج, المنتج, 
syn, إحدى, 1, 
syn, سطر, انصرف, 
syn, ضيق, مشدود, 
syn, عهده, اعتقال, 
syn, محدودة, مقيدة, 
syn, بوش, تقدم, 
syn, بوت, يرقة, 
syn, بوب, مزلقة, 
syn, مقال, ربط, 
syn, مقام, تكريس, 
syn, الممكن, محتمل, 
syn, التعبير, بحث, 
syn, معارضة, مقاومة, 
syn, فأر, تسلل, 
syn, بول, جعل, 
syn, مهارات, إنجاز, 
syn, باتريك, باتريك, 
syn, التحقق, تأكيد, 
syn, فلسفة, عقيدة, 
syn, جغرافية, geographics, 
syn, نقطة, تشير, 
syn, جغرافيا, geographics, 
syn, الشوارع, فرصة, 
syn, يضع, مجموعة, 
syn, الحين, نقطة, 
syn, المقدسة, مكان, 
syn, بوسطن, بوسطن, 
syn, فيلم, أخذ, 
syn, الدواء, جرعة, 
syn, الداخل, داخلي, 
syn, مرتين, مزدوج, 
syn, اختلاف, الانحراف, 
syn, مائة, مائة, 
syn, معطيات, معلومات, 
syn, إمام, قدما, 
syn, غلوب, أرض, 
syn, مائي, رسوبي, 
syn, الألعاب, أعرج, 
syn, الأمامية, بحث, 
syn, تجعل, جعل, 
syn, إيقونة, صورة, 
syn, بكتابة, بقايا, 
syn, الحية, حياة, 
syn, فيلا, فيلا, 
syn, الفيزيائية, إكراهي, 
syn, فنزويلا, فنزويلا, 
syn, الأعلام, تبلد, 
syn, تمثيل, تفويض, 
syn, بسيطة, صغير, 
syn, فوكس, فليم-الأكذوبة, 
syn, العثور, إنشاء, 
syn, خصوصاً, خصوصا, 
syn, الإصلاح, استعادة, 
syn, تغير, تغيير, 
syn, القذافي, القذافي, 
syn, دواء, دواء, 
syn, الجدول, تأجيل, 
syn, مؤلفات, تشكل, 
syn, المنهج, برنامج, 
syn, كردستان, كردستان, 
syn, عضلة, مرر, 
syn, تاج, coronate, 
syn, تاء, خمسة, 
syn, المزيد, أكثر, 
syn, كلمات, غنائية, 
syn, الأساطير, قصة, 
syn, التضاريس, جزء, 
syn, الثقافات, حضارة, 
syn, جرى, واشنطن, 
syn, نابليون, بونابرت, 
syn, كيميائية, كيميائي, 
syn, السن, senesce, 
syn, السلوك, سلوك, 
syn, ولعب, لعب, 
syn, فهناك, موقع, 
syn, المعمارية, بناء, 
syn, الدراسية, تعليم, 
syn, ولعل, ربما, 
syn, السد, منع, 
syn, مساحة, وضع, 
syn, بإعادة, رع, 
syn, الديمقراطية, جمهورية, 
syn, عزيز, محبوب, 
syn, تحياتي, تحية, 
syn, الناس, يسكن, 
syn, الشيخ, الشيخ, 
syn, أحدث, عصري, 
syn, المدينة, مدينة, 
syn, الفريق, aggroup, 
syn, 175, 175, 
syn, ردود, إجابة, 
syn, أ, انجستروم, 
syn, الألماني, ألماني, 
syn, صناديق, المالية, 
syn, بعدة, مختلف, 
syn, اخرى, سابق, 
syn, بعدد, مجموع, 
syn, حمص, شواء, 
syn, حمض, لاذع, 
syn, الأقل, leastways, 
syn, السيف, شفرة, 
syn, الأساس, أساس, 
syn, الشهيرة, مشهور, 
syn, بعدم, غير, 
syn, الكوري, الكورية, 
syn, السير, رجل, 
syn, نظرًا, المستحقة, 
syn, السيد, سيد, 
syn, بالقاهرة, القاهرة, 
syn, سرطان, سرطان, 
syn, سلطنة, بلد, 
syn, مسلمون, مسلم, 
syn, اليمين, صحيح, 
syn, الجانبية, اختار, 
syn, الصفحة, تورق, 
syn, شرقي, شرقا, 
syn, الإفلات, بالوعة, 
syn, مخطط, تآمر, 
syn, خ, عشرة, 
syn, الحقوق, صحيح, 
syn, خلف, ردفان, 
syn, خلق, جعل, 
syn, خلل, صحراء, 
syn, المحوري, ملاطف, 
syn, مخيم, مصطنع, 
syn, أسرته, الأسرة, 
syn, الضوء, ضعيف, 
syn, استديو, شقة, 
syn, طالع, قل, 
syn, وزير, حضر, 
syn, تحولت, بعيدا, 
syn, امرأة, الخدامة, 
syn, المنطق, التضميغ, 
syn, إتش, HP, 
syn, التوالي, إفراديا, 
syn, البري, الجامح, 
syn, أمور, الاهتمام, 
syn, نورث, اتحاد, 
syn, زعيم, ميزة, 
syn, تنسيق, تنظم, 
syn, بيروت, Bayrut, 
syn, لحزب, احتفل, 
syn, عالم, فرد, 
syn, المسائل, نشر, 
syn, عالي, بارز, 
syn, برمجيات, رزمة, 
syn, المواطنين, مواطن, 
syn, التقرير, وصف, 
syn, الخط, انصرف, 
syn, مراكز, وسط, 
syn, عراقية, عراقي, 
syn, مراكش, مراكش, 
syn, مرکز, وسط, 
syn, ضرب, إضراب, 
syn, يحتاج, بالضرورة, 
syn, نباتية, الخضروات, 
syn, روما, غجر, 
syn, البرج, سيطر, 
syn, ديوان, ديوان, 
syn, موقعها, موضع, 
syn, زمن, ساعة, 
syn, بالنادي, هراوة, 
syn, يهودية, يهودية, 
syn, التعليمية, تعلم, 
syn, انتشرت, فرقت, 
syn, الكثير, كثيرا, 
syn, تصفيات, التعديل, 
syn, تشارلز, تشارلز, 
syn, الإسباني, أسباني, 
syn, الكلام, عنوان, 
syn, القليلة, نخبة, 
syn, فهم, اعتقال, 
syn, مقاعد, المقاعد, 
syn, سيمون, سيمون, 
syn, أفغانستان, أفغانستان, 
syn, يمتد, توسيع, 
syn, يهتم, أتمنى, 
syn, لعزلة, اغلاق, 
syn, العلوم, مهارة, 
syn, يتيمة, خدر, 
syn, العلوي, تجاوز, 
syn, جزءاً, فصل, 
syn, كذلك, جدا, 
syn, ولن, توريث, 
syn, الموقف, موضع, 
syn, السريع, سريع, 
syn, ولي, coronate, 
syn, روابط, صلة, 
syn, إذ, زرنيخ, 
syn, كولورادو, كولورادو, 
syn, شعبية, جودة, 
syn, توثيق, شهادة, 
syn, المباراة, تناسب, 
syn, التكوين, كوكبة, 
syn, للمملكة, أرض, 
syn, استقلال, الاستقلالية, 
syn, معماري, انضباط, 
syn, الولوج, تحقيق, 
syn, للرئيس, رئيس, 
syn, اكتشفت, التأكد, 
syn, النسبية, متناسب, 
syn, الموقع, موضع, 
syn, الأرضية, مرساة, 
syn, ولد, طبيعي, 
syn, قرب, أغلق, 
syn, قرص, نتف, 
syn, إصابة, انتقال, 
syn, قرر, حدد, 
syn, جعله, اجتاز, 
syn, أيدي, حبس, 
syn, الفنانين, الخالق, 
syn, الساق, فرع, 
syn, سوري, سوري, 
syn, صياغة, إعداد, 
