Word 1,Word 2,Similarity (0-5),Nonsense (Optional)
أغاني,صخبا,2,
حرب,سلام,5,
سول,سيول,5,
مدرجة,المسجلين,3,
قصور,انجازات,3,
وقوف,التحكم,1,
القوات,إدفع,1,
عقود,دلالة,2,
بخلاف,اعجاب,0,
شهر,فترة,4,
شاطئ,أرض,4,
مخصص,جاهز,0,
الغنية,ميل,0,
مفاتيح,الوهن,0,
نشطة,المشاركة,2,
بقيت,جولة,1,
القطع,فك,4,
أمره,مضطرب,0,
ضوء,ظلام,5,
مجرد,ظالم,0,
مماثل,اعجاب,0,
الوظيفة,عطل,1,
تاريخها,حساب,1,
حرض,هدوء,1,
المسافة,ابتز,0,
سباحة,سائل,0,
يظهر,اختفى,5,
ومعظم,الأقل,5,
ذكية,التحدي,0,
ثابت,مجموعة,0,
بوابات,غيتس,,y
تكرار,كرر,5,
وراء,ردفان,0,
يكن,غير,0,
درب,سحب,0,
محل,ساعة,0,
التراب,نظيف,0,
أوجه,عظم,0,
ظهور,اختفاء,5,
المنخفض,ارتفاع,5,
الزيادة,تغير,3,
المتعدد,لوطي,0,
الكلاسيكية,موثوق,0,
اجتماع,نلتقي,3,
دكتور,استراحة,0,
النظر,ظرف,0,
تدعو,اسم,3,
المطلق,مراقب,0,
بقوة,وصي,0,
سوء,مريض,3,
استخدامها,استغلال,3,
أنشئ,تشكل,2,
موسيقية,لحني,3,
شهد,قطع,0,
الإلكترونية,توكوفيرول,0,
شائع,فرد,2,
صغار,المقعدية,0,
الإصدار,اتركها,0,
انتخب,ملجأ,0,
المركب,بسيط,4,
سوق,تسويق,5,
الحدودية,إحاطة,3,
آخرين,مصادفة,0,
ملحقة,التكنولوجية,0,
اضافة,دمج,3,
الأحماض,لاذع,2,
سند,ضرب,2,
الكم,كمية,5,
المركز,اليسار,0,
جديدا,طازج,1,
أنشأت,فهم,1,
المحليين,مسبار,0,
رؤساء,قيادة,4,
الحرام,دنس,4,
شراء,اعجاب,0,
بأنها,زرنيخ,0,
مكعب,الإيمائي,0,
الزمني,ساعة,4,
جنوبا,رمز,0,
بعيدة,تشجير,0,
صورة,تصور,5,
فوزه,أعرج,0,
رؤية,مشهد,5,
الغربية,الشرقية,5,
بلده,مرحبا,3,
التراث,وراثة,4,
المشتركة,منقسم,3,
ورق,غطاء,1,
الرجل,براز,0,
وأعلن,معلن,5,
عرف,استعمال,0,
أخضر,رصد,0,
عربة,قحافة,3,
الفائزة,منتصر,5,
الفتى,ابنة,5,
عرب,عربي,5,
تشابه,ضمان,0,
لون,دعم,0,
الشخصي,تشكل,0,
الآلية,تنفيذ,1,
المختلفة,حضن,0,
العيش,مسجل,0,
نقدية,محطة,0,
يتحدث,حديث,5,
نشر,منشور,5,
