Word 1,Word 2,Similarity (0-10),Nonsense (Optional),,
دعوة,اسم,4,,,
الاجتماعية,انطوائي,,y,,
التجارب,خبرة,6,,,
عبيد,حر,9,,,
غضب,أثار,0,,,
أخوه,رفيق,8,,,
سائر,سابق,0,,,
الصدر,صدر,10,,,
يتحول,منعطف,0,,,
فنون,انضباط,6,,,
ينقسم,متحد,9,,,
التجميع,تلفيق,7,,,
امتداد,تزاحم,6,,,
الخدمة,خدمة,10,,,
غياب,تجريب,0,,,
الفوائد,ربح,8,,,
إم,الأب,9,,,
الفتيات,صبي,9,,,
كارلوس,سانشيز,9,,Karlos' and 'Sanchez',
جثة,جيفة,9,,,
بقرار,إعلان,7,,,
الجيد,سيئة,9,,,
أخت,أخ,9,,,
أخي,أخت,9,,,
النحاس,معطف,4,,,
التعادل,دمج,6,,,
الرقمي,فطري,2,,,
مركز,اليسار,7,,,
الصوتي,صوت,10,,,
يزيد,نقصان,7,,,
صوتية,صحي,1,,,
جزءاً,كليا,8,,,
شكلها,حدد,3,,,
التجاري,تعامل,4,,,
البر,إثم,10,,,
سؤال,دردشة,7,,,
تجنب,مواجهة,8,,,
جزءًا,نلتقي,1,,,
الأرضية,الشكل,3,,,
علاقات,الانقطاع,7,,,
لعبت,ضيق,1,,,
يجعل,مرحبا,0,,,
معينة,إنقاذ,0,,,
أوائل,ارتفاع,0,,,
الإخراج,خلق,3,,,
م,ألف,,y,,
زيادة,جناح,0,,,
المكان,ستوديو,7,,,
كلية,الجسم,4,,,
اللوحات,صورة,6,,,
كثيرًا,القليل,10,,,
بطول,بعد,6,,,
بأكثر,أقل,9,,,
يقبل,قريب,4,,,
سلف,ضع,0,,,
أسباب,اختتام,2,,,
الأسئلة,شكل,3,,,
مغتربون,عززت,0,,,
حصل,ضائع,2,,,
نقابة,عزز,4,,,
العدو,تطلب,4,,,
العدل,رسم,2,,,
اهل,قوم,7,,,
أيقونة,صورة,7,,,
منازل,سلطات,0,,,
غازي,سائل,7,,,
الجماهير,كثرة,8,,,
بقرية,بلدة,8,,,
أقارب,متناسب,0,,,
يتيمة,نشط,0,,,
مواصلة,توقف,6,,,
الانتشار,نشرها,9,,,
الدائرة,تعميم,1,,,
شاب,جديد,0,,,
يعاني,استمتع,6,,,
مفتوح,منحل,0,,,
تمنح,عرض,4,,,
بلورات,تبلور,9,,,
كاري,فستان,0,,,
عكس,مواجه,4,,,
يزال,متحرك,3,,,
السائد,سائد,10,,,
ملعب,منتجع,6,,,
المباراة,تعارض,6,,,
كافة,لا,0,,,
النزاع,فواجه,,y,,"It depends on how you'd find this in a sentence, but it's not a 'word' per se."
بتعديل,وصف,3,,,
ارتفاع,منخفض,9,,,
اللعب,ضيق,6,,,
هيئة,جسد,7,,,
المجلة,خرطوشة,1,,,
تأسيسها,الغرب,6,,,
الجزيئي,تستعد,1,,,
السنية,السني,10,,,
النسبية,مطلق,8,,,
مقابلة,سؤال,7,,,
عمل,تراخ,10,,,
تكوين,تشكيل,9,,,
الوفيات,نقل,4,,,
أبعد,المزيد,3,,,
يدعو,اسم,7,,,
علما,رصد,6,,,
يدعم,دعم,10,,,
الأحمر,برهن,,y,,
الشعري,شعري,10,,,
الجذور,شرط,1,,,
ويشير,التالى,4,,,
الصعيد,مسطحة,8,,,
الترفيهية,تسلية,10,,,
طول,بعد,6,,,
السفلي,تجبر,4,,,
مسلمون,مسلم,10,,,
اتصالات,التواصل,8,,,
يمكن,قصدير,0,,,
الصغار,حفظ,7,,,
دولي,فواجه,,,"It depends on how you'd find this in a sentence, but it's not a 'word' per se.",
لاحق,خفي,2,,,
عمر,تجديد,6,,,
طور,تتطور,9,,,
مبكر,سابق,6,,,
تعيش,مسجل,0,,,
سائل,شفاف,6,,,
الاتفاق,قذيفة,3,,,
طبيعية,اتفاقية,3,,,
الكرة,لفة,4,,,
البرمجيات,الفنية,1,,"I'm not familiar with this word and I can't find it in a dictionary, but perhaps it's a modern insertion that means some kind of program (computer perhaps)? Regardless, I don't consider it a strong relationship.",
الجمعيات,تبرؤ,3,,,
القرن,مائة,8,,,
تشبه,مماثل,9,,,
مستعمرة,مستوطنة,9,,,
مؤقت,عشرة,3,,,
تزيد,مستحق,4,,,
الأرمن,الأرميني,10,,,
