Word 1,Word 2,Similarity (0-5),Nonsense (Optional)
سابقون,أخير,3,
الكتابة,تأليف,4,
إصدار,مختلف,0,
فلم,كل,0,
أغلب,حول,0,
داخلي,خارجي,5,
الفدرالي,اتفاقية,1,
عانت,استمتع,0,
الداخلي,سفلي,0,
الخلفية,طليعة,5,
نصف,كامل,3,
آمنة,خطير,5,
العصب,صلب,0,
قمة,تحقيق,0,
الحرارة,يأذن,0,
دوريات,شرطة,3,
إعلامي,المنير,0,
يرفض,هبوط,0,
بمركز,وسط,0,
مدرس,معلم,5,
انتشار,طية,0,
رحيل,الذهاب,4,
النقدية,احتفظ,0,
المقام,ضع,1,
الأرضي,مرساة,1,
مباني,صرح,3,
جسور,خجول,0,
الخصم,ناهض,1,
وظل,النصرانية,0,
يستحق,جدارة,4,
لحظة,هدم,0,
الرسمية,الموظف,0,
يحضر,بحث,0,
الحجري,حفرة,1,
العسكري,مدني,5,
التعليق,تنويه,1,
يعطى,عودة,0,
الملوك,ريكس,,y
ماكس,صابون,,y
غزو,زحف,3,
الخطر,ضائع,0,
المرتبطة,قريب,2,
الترتيب,متفوق,2,
تظل,تنسيق,0,
يُمكن,تأتي,0,
دائمًا,أبدا,4,
إغلاق,النهاية,3,
عملاقة,أخرق,0,
الشرف,خزي,4,
صلاحية,عجز,1,
القسم,قطعة,3,
المجلات,خرطوشة,0,
العقد,كتيب,0,
أضف,ألحق,2,
خطر,سلامة,5,
بدء,النهاية,5,
الأقصى,قرب,5,
الأحوال,انضباط,0,
متلازمة,مجمع,3,
هيا,نزول,0,
الطيبة,كامل,0,
الطبي,ديفيد,,y
برز,نتأ,,y
الشرق,غرب,5,
تأهل,قرية,0,
الثورة,دوران,0,
تصيب,طهر,0,
المكتوبة,سرد,2,
موحدة,متسق,1,
المستعملة,استغلال,2,
مجمع,بسيط,0,
الوفاء,ديني,0,
بارزة,معلقة,2,
الرائد,افتح,0,
الجدل,خلاف,2,
القانون,فقه,1,
معرف,ايداهو,,y
الحزم,اغلاق,0,
صوديوم,نا,,n
عزبة,فدان,1,
التنسيق,محترس,0,
النور,أسير,0,
الأحداث,حالة,0,
المحلية,الفلور,,n
شهاب,نيزك,3,
التقرير,وصف,2,
يؤمن,ميدان,0,
جيب,حقيبة,0,
تقدم,عرض,0,
دلتا,تشكيل,0,
الغازية,تابع,0,
استمر,نقل,2,
متكررة,نادر,4,
مدرب,قطار,0,
يجد,بالتأكيد,0,
إشارات,إشارة,5,
خطي,مكعب,0,
ابتدائية,ثانوي,2,
رابطة,تبرؤ,0,
ملامح,نقص,0,
تشتمل,استبعد,0,
الوطنية,الأرستقراطي,0,
نجح,فشل,5,
الأركان,تلبية,0,
نجد,تخسر,0,
فائدة,تجويف,0,
المعتمد,مواطن,0,
تشجيع,رغبة,0,
قمر,عرض,0,
الأمان,خطر,5,
المغناطيسية,توضيح,0,
شرعية,لاشرعية,5,
مشاعر,الانطباع,2,
نصب,ألغى,0,
جين,عامل,0,
خرج,مجموعة,0,
أطلق,اتركها,2,
القرار,سجل,0,
مكتبة,تراكم,0,
نووية,الذري,5,
ذكور,أنثى,5,
جنسي,حميم,1,
عصبة,زمرة,3,
سقط,حملة,0,
مطالب,تجنب,0,
جيد,كامل,0,
لين,الصعب,4,
ذكر,مانفول,,n
البنات,دفن,0,
الإطارات,نكهة,0,
الميناء,طازج,0,
السماوية,ثانية,0,
إضافة,طرح,4,
تنقل,جودة,0,
مغلقة,بلدة,0,
الترجمة,أداء,0,
بيضاء,تقريبا,0,
الحيوانات,معدن,0,
مزرعة,تنمو,3,
المراكز,اليسار,0,
تمثل,محاكمة,0,
العزم,أملى,0,
إنقاذ,تسليم,0,
أشكال,تنظم,2,
المدني,مهذب,2,
وبعض,تقريبا,3,
زادت,انخفاض,4,
المقال,ربط,0,
طباعة,نشر,3,
المؤقت,الأثناء,2,
مغناطيسية,جغرافي,0,
وبعدها,ثم,3,
بولس,بول,,y
