Word 1,Word 2,Similarity (0-5),Nonsense (Optional)
التجارب,خبرة,4,
عبيد,حر,1.5,
غضب,أثار,2.5,
أخوه,رفيق,3.5,
سائر,سابق,4,
الصدر,صدر,5,
يتحول,منعطف,3,
فنون,انضباط,1.5,
ينقسم,متحد,4,
التجميع,تلفيق,4,
امتداد,تزاحم,0,
الخدمة,خدمة,5,
غياب,تجريب,0,
الفوائد,ربح,4,
إم,الأب,4,
الفتيات,صبي,4,
كارلوس,سانشيز,0,
جثة,جيفة,5,
بقرار,إعلان,3.5,
الجيد,سيئة,4,
أخت,أخ,4,
أخي,أخت,4,
النحاس,معطف,0,
التعادل,دمج,2.5,
الرقمي,فطري,0,
مركز,اليسار,4,
الصوتي,صوت,5,
يزيد,نقصان,4,
صوتية,صحي,0,
جزءاً,كليا,4,
شكلها,حدد,2,
التجاري,تعامل,3,
البر,إثم,4,
سؤال,دردشة,4,
تجنب,مواجهة,4,
جزءًا,نلتقي,0,
الأرضية,الشكل,1,
علاقات,الانقطاع,3.5,
لعبت,ضيق,0,
يجعل,مرحبا,0,
معينة,إنقاذ,1,
أوائل,ارتفاع,0,
الإخراج,خلق,0,
م,ألف,0,
زيادة,جناح,0,
المكان,ستوديو,0,
كلية,الجسم,4,
اللوحات,صورة,5,
كثيرًا,القليل,4,
بطول,بعد,4,
بأكثر,أقل,4,
يقبل,قريب,0,
سلف,ضع,0,
أسباب,اختتام,0,
الأسئلة,شكل,0,
مغتربون,عززت,0,
حصل,ضائع,2,
نقابة,عزز,0,
العدو,تطلب,1,
العدل,رسم,0,
اهل,قوم,4,
أيقونة,صورة,4,
منازل,سلطات,0,
غازي,سائل,3.5,
الجماهير,كثرة,3,
بقرية,بلدة,4,
أقارب,متناسب,4,
يتيمة,نشط,0,
مواصلة,توقف,4,
الانتشار,نشرها,5,
الدائرة,تعميم,0,
شاب,جديد,1,
يعاني,استمتع,4,
مفتوح,منحل,1,
تمنح,عرض,0,
بلورات,تبلور,3.5,
كاري,فستان,0,
عكس,مواجه,5,
يزال,متحرك,2,
السائد,سائد,5,
ملعب,منتجع,3,
المباراة,تعارض,2.5,
كافة,لا,4,
النزاع,فواجه,0,
بتعديل,وصف,1.5,
ارتفاع,منخفض,4,
اللعب,ضيق,0,
هيئة,جسد,4,
المجلة,خرطوشة,0,
تأسيسها,الغرب,0,
الجزيئي,تستعد,0,
السنية,السني,5,
النسبية,مطلق,4,
مقابلة,سؤال,4,
عمل,تراخ,4,
تكوين,تشكيل,5,
الوفيات,نقل,1.5,
أبعد,المزيد,2.5,
يدعو,اسم,1.5,
علما,رصد,3,
يدعم,دعم,5,
الأحمر,برهن,0,
الشعري,شعري,5,
الجذور,شرط,0,
ويشير,التالى,1,
الصعيد,مسطحة,0,
الترفيهية,تسلية,4,
طول,بعد,3,
السفلي,تجبر,0,
مسلمون,مسلم,5,
اتصالات,التواصل,4,
يمكن,قصدير,0,
الصغار,حفظ,3.5,
دولي,فواجه,0,
لاحق,خفي,0,
عمر,تجديد,0,
طور,تتطور,5,
مبكر,سابق,4,
تعيش,مسجل,1,
سائل,شفاف,0,
الاتفاق,قذيفة,2,
طبيعية,اتفاقية,0,
الكرة,لفة,2,
البرمجيات,الفنية,3,
الجمعيات,تبرؤ,0,
القرن,مائة,4,
تشبه,مماثل,5,
مستعمرة,مستوطنة,4,
مؤقت,عشرة,0,
تزيد,مستحق,0,
الأرمن,الأرميني,5,
