Word 1,Word 2,Similarity
الجيد,سيئة,0.9
المستمر,متقطع,1.0
جديدا,طازج,0.2
سهولة,إسرائيلي,0.0
الافتراضي,فشل,0.0
لجمعية,النادي,0.8
تتيح,مفيد,0.2
المصلحة,تجويف,0.0
إيجابية,سفر,0.0
التوقف,فراغ,0.1
بيضاء,تقريبا,0.0
الجماهير,كثرة,0.725
ابن,صبي,0.7
التاريخي,المتزامن,0.7
الوفيات,نقل,0.425
الخفيفة,ظلام,0.0
أقارب,متناسب,0.6
الثابت,سهل,0.0
شهر,فترة,0.8
المطلق,مراقب,0.0
المدنيين,عسكري,1.0
جنبا,أسفل,0.2
مأخوذة,استمر,0.0
فخر,ساعة,0.0
طيف,نطاق,0.8
العدو,تطلب,0.15
ثور,بقري,1.0
تظهر,عرض,0.8
بل,مجرد,0.6
ضعف,قوة,0.8
المكتوبة,سرد,0.55
دولي,فواجه,0.0
اصل,بداية,1.0
سلامة,خطر,0.8
ملخص,سفر,0.0
عملها,قسمت,0.2
إصدار,مختلف,0.1
مكتبة,تراكم,0.3
زوج,حيازة,0.25
يحمل,صنع,0.0
الهادئ,مسالم,1.0
الحيوي,خبري,0.0
التجاري,تعامل,0.45
البدلاء,عرض,0.0
الجذور,شرط,0.025
الوفاء,ديني,0.2
الشرق,غرب,0.9
الخطر,ضائع,0.3
مزرعة,تنمو,0.65
المسؤولية,واجب,0.6
المغناطيسية,توضيح,0.0
نصر,هزيمة,0.9
توقف,ابتهاج,0.0
جوي,غازي,0.0
يصعب,الصعب,0.975
ميلادية,إعلان,0.175
مايكل,ميخائيل,1.0
بحر,إيجاد,0.1
الوجود,ثقافي,0.0
سلطنة,بلد,0.2
الحرارة,يأذن,0.0
يحتل,مشغول,0.0
نشاط,تراخ,0.95
تمثل,محاكمة,0.3
ابتداء,غرس,0.4
للقرية,بلدة,1.0
امتدت,مشتت,0.6
الألفية,ألفي,0.7
جيدا,سوء,1.0
الدستورية,مدمج,0.225
يأتي,مستعرض,0.6
التربة,الجامح,0.0
الترجمة,أداء,0.0
حر,مقيد,0.8
الأعلام,تبلد,0.0
وبخاصة,خصوصا,1.0
أخت,أخ,0.925
نهاية,توقف,0.8
آمنة,خطير,0.9
انتظار,انتظر,1.0
سويدية,الشمال,0.0
الدراسية,تعليم,1.0
بإضافة,طرح,0.3
غازي,سائل,0.775
مصفوفة,مجموعة,0.5
الهزيمة,رزمة,0.0
التخلي,تعليم,0.0
حازت,قرب,0.0
راشد,حدث,0.15
صناعي,إضراب,0.0
غضون,جولة,0.4
بتأسيس,الهلامية,0.0
قراءة,إشارة,0.5
حمراء,مثالي,0.0
أخوه,رفيق,0.8
تماما,استمر,0.4
أرباحا,ربح,1.0
لمحة,تألق,0.0
الفيزيائية,إكراهي,0.0
هاجم,جولة,0.2
فيلق,مضيف,0.0
أكراد,كردي,1.0
القانون,فقه,0.45
مرتين,مزدوج,1.0
شيخ,قديم,0.0
الشيء,مسألة,0.0
القدم,الرأس,0.8
الانتباه,حضور,0.6
الأقصى,قرب,0.8
الماضي,مستقبل,1.0
أعلى,أسفل,0.95
شقيقه,أسفل,0.0
المئذنة,برج,0.6
جعل,استراحة,0.0
آمن,نقطة,0.6
ملحقة,التكنولوجية,0.0
تتخذ,أخذ,1.0
الكتابة,تأليف,0.7
الأرضي,مرساة,0.35
تشير,قرب,0.0
يدي,حبس,0.0
المدنية,مهذب,0.375
الخصم,ناهض,0.4
واجه,يوم,0.0
أخي,أخت,0.925
النحو,زرنيخ,0.0
أخو,أخت,0.925
خانة,رزمة,0.2
شرقي,شرقا,1.0
وأعلن,معلن,1.0
السيناريو,افتراض,0.825
عمل,تراخ,0.85
التعبير,بحث,0.0
سيئة,جيد,0.9
درس,مثال,1.0
شاب,جديد,0.25
معينة,إنقاذ,0.25
المسرحيات,لعب,0.8
وطنية,وابل,0.15
لحظة,هدم,0.0
معطيات,معلومات,1.0
بالعمل,خامل,0.7
الانضمام,فكك,0.8
علما,رصد,0.55
بدعم,ينفي,0.0
مليئة,شاغرة,1.0
ميونخ,ميونيخ,1.0
سوداء,أبيض,1.0
مؤقت,عشرة,0.075
السلام,ثانية,0.0
المجلة,خرطوشة,0.125
المرجعية,استشهد,0.0
السيف,شفرة,0.0
يتفق,عقيدة,0.6
وجنوب,حلف,0.0
الغنية,ميل,0.0
عميق,ضحل,0.8
خلاصة,الطبلة,0.0
ميدالية,زخرفة,0.525
نسيج,حرف,0.0
سور,جرف,0.0
الشخصي,تشكل,0.0
المسلسلات,متتابع,0.7
سائر,سابق,0.25
لَا,ألغى,0.4
شهاب,نيزك,0.65
تفتح,تلفيق,0.0
دمرت,يستلزم,0.0
أسباب,اختتام,0.05
اللوحات,صورة,0.8
التوسع,وكالة,0.0
مواصلة,توقف,0.4
التعاون,منافسة,1.0
السلطنة,بلد,0.2
إعلامي,المنير,0.3
أنشئ,تشكل,0.4
صعيد,رفع,0.0
الحيوان,جسدي,0.0
ظهور,اختفاء,1.0
أبى,قبول,0.0
أسسها,تستند,0.6
اهل,قوم,0.725
العسكريين,أولا,0.0
قومية,طموح,0.2
الرب,سيدة,0.8
معنى,حامل,0.05
الصوتية,صوت,1.0
بنك,سحب,0.8
الدولة,حالة,0.0
تهذيب,اللاانضباط,0.8
النشاط,خاصية,0.0
المضاد,معاد,1.0
عادي,خوارق,0.8
يتحول,منعطف,0.3
اعتمد,مواطن,0.5
بعيدة,تشجير,0.0
رؤساء,قيادة,0.8
قليل,كثير,1.0
عادية,غريب,0.925
منشأة,تركيب,0.6
متلازمة,مجمع,0.4
سول,سيول,1.0
بقرار,إعلان,0.725
علوية,هدف,0.15
وصول,تحقيق,0.2
المرتبطة,قريب,0.5
السهول,مشتت,0.0
عزيز,محبوب,1.0
نووية,الذري,0.9
الشكل,أرض,0.0
المعادن,مادة,0.8
حيوان,جسدي,0.0
المجلات,خرطوشة,0.3
أماكن,مشهور,0.4
أفضل,أسوأ,1.0
الثورة,دوران,0.2
شمالي,ورنيش,0.0
فشل,إهمال,0.6
القوات,إدفع,0.2
يعمل,النبات,0.175
منفرد,مشترك,0.7
تنمو,منعطف,0.0
تكوين,تشكيل,0.975
يقبل,قريب,0.15
شيوعا,متبادل,0.0
ضعيف,مائي,0.0
أضاف,انتظر,0.0
يرفض,هبوط,0.3
أسلوب,عنوان,0.0
الوطنية,الأرستقراطي,0.3
يبعد,تفريغ,0.2
الشتاء,مرر,0.0
الإفلات,بالوعة,0.0
تتغير,بدل,1.0
تطويرها,تطور,1.0
ينجح,فشل,0.8
الحالي,إزهار,0.0
المطلب,دوران,0.0
بيته,كردي,0.2
الأمامية,بحث,0.0
نظرًا,المستحقة,0.0
الانتشار,نشرها,0.975
العدل,رسم,0.05
بأعمال,خامل,0.6
جنوبا,رمز,0.0
فأر,تسلل,0.0
تتناول,عنوان,0.0
به,الماضي,0.0
الخلفية,طليعة,0.9
بصورة,أكثر,0.0
وبعدها,ثم,0.75
حرض,هدوء,0.2
يقف,الوقوف,1.0
التوراة,توراة,1.0
المراكز,اليسار,0.3
نقلها,تتأثر,0.0
طبيعية,اتفاقية,0.075
يشعر,خبرة,0.0
فقدت,ابن,0.0
اخرى,سابق,0.2
التراث,وراثة,0.8
إنقاذ,تسليم,0.3
مركب,بسيط,0.4
عضوي,زاحف,0.0
جهاز,إلتواء,0.0
المبيعات,دخل,0.8
العديدة,قليل,0.875
الزيادة,تغير,0.6
اختصار,قطع,0.625
الفعل,التعديل,0.0
الأدباء,مؤلف,0.75
مشتركة,مجالات,0.0
حنان,وجع,0.4
تأهيل,تعديل,0.6
عُرف,جمعية,0.0
القرن,مائة,0.8
الحكمة,حماقة,0.8
شحنة,حمولة,0.8
هيا,نزول,0.2
تمييز,محسوبية,0.4
تصيب,طهر,0.2
المفتوحة,مغفل,0.0
تجمعات,فتح,0.0
يعاني,استمتع,0.75
اتفاقيات,حفظ,0.6
عانت,استمتع,0.1
المكان,ستوديو,0.525
كاملة,فارغة,1.0
مخطط,تآمر,0.8
رؤية,مشهد,1.0
يواجه,وسط,0.0
هزيمة,فوز,0.9
السحب,تهريج,0.0
جمال,متوسط,0.0
ارتفاع,منخفض,0.925
تربة,نظيف,0.3
العسكري,مدني,0.9
عهدة,اعتقال,0.8
القسم,قطعة,0.6
الحادث,الأساسية,0.0
المركب,بسيط,0.8
تشجيع,رغبة,0.3
المتعدد,لوطي,0.0
غضب,أثار,0.375
النور,أسير,0.0
رقيقة,إشراك,0.0
بقيادة,الصمام,0.0
جيداً,سوء,0.925
الانترنت,شبكة,0.925
ورق,غطاء,0.2
جين,عامل,0.0
يفقد,المنتج,0.5
تنص,قل,0.3
الكم,كمية,1.0
جثة,جيفة,0.975
الحدودية,إحاطة,0.6
ابتدائية,ثانوي,0.5
اتفق,تعارض,1.0
بوش,تقدم,0.0
حصل,ضائع,0.15
يتضح,فتح,0.2
قتال,معركة,0.95
نائبا,ملازم,0.8
ومراكز,اليسار,0.0
استقال,المعيشة,0.2
دعوة,اسم,0.225
بخلاف,اعجاب,0.0
الإخراج,خلق,0.175
فهناك,موقع,0.0
حمض,لاذع,0.0
بنحو,تقريبا,0.9
اعتمدت,وضيع,0.075
الصباح,الضحى,1.0
شقيقة,المنحدر,0.0
الصوتي,صوت,1.0
إمام,قدما,0.0
خطورة,عبث,0.6
وبعض,تقريبا,0.6
صلاحية,عجز,0.4
آخرين,مصادفة,0.0
الفورمولا,التعبير,0.0
مساعدة,معونة,1.0
باللهجة,لغة,0.85
فنون,انضباط,0.475
تغييرات,البقاء,0.0
بعدة,مختلف,0.0
خاص,استثنائي,0.8
اجتماع,نلتقي,0.6
الولوج,تحقيق,0.6
الترتيب,متفوق,0.5
النصوص,المدرسية,0.6
شائع,فرد,0.4
الشائع,مجرد,0.0
الاطلاع,فحص,0.6
انتخاب,الاختيار,0.7
الشوارع,فرصة,0.0
محفوظ,الحضور,0.0
الريفي,الحضري,1.0
الخضر,أخضر,1.0
الثقافات,حضارة,0.8
الوظيفية,التشغيل,0.7
الموحد,دمج,1.0
الأحماض,لاذع,0.4
مطلقة,حضر,0.0
مثلما,زرنيخ,0.0
الحرارة,سيادة,0.1
تخفيض,نقصان,1.0
فوائد,ربح,0.7
محلات,تلفزيون,0.0
لسان,حضن,0.3
الحيوانات,معدن,0.1
ويشير,التالى,0.2
الممثلون,يلقي,0.2
للدفاع,مناصفة,0.125
الكل,كليا,1.0
بنت,صبي,0.8
التراب,نظيف,0.0
رياضات,خاصية,0.0
القصير,طويل,0.8
رقمية,ملحق,0.2
ريال,تصرف,0.6
المحلية,الفلور,0.6
أبعد,المزيد,0.35
قصير,الحالي,0.1
العلوي,أسفل,0.925
موزعة,يساوي,0.8
لاحق,خفي,0.05
سائل,شفاف,0.35
فوزه,أعرج,0.0
توسع,انقباض,0.6
يعطى,عودة,0.3
مرآة,تعكس,1.0
النفسية,العلوم,0.6
المزارع,تنمو,0.5
تأييد,دعم,0.8
توازن,جزيء,0.2
أوجه,عظم,0.0
جغرافي,مغنطيسي,0.2
بدء,النهاية,0.9
مصالح,تجويف,0.0
الحادثة,الأساسية,0.0
دفاع,جريمة,0.2
التجارة,بضائع,0.825
رئيس,قدم,0.0
تظل,تنسيق,0.3
جزءًا,نلتقي,0.025
جودة,الاختيار,0.2
مغتربون,عززت,0.0
تنقل,جودة,0.0
سار,وسط,0.0
موطنه,رؤية,0.4
الصليبية,مصلح,0.175
النزاعات,التحدي,0.6
أفقية,عمودي,1.0
حكومات,سلطات,1.0
المنافسة,تعاون,1.0
مستعمرة,مستوطنة,0.925
تفصيلي,يفصل,0.8
نوعية,الاختيار,0.0
الديمقراطية,جمهورية,0.7
الأحوال,انضباط,0.2
للمستخدمين,مستغل,0.8
إظهار,عرض,0.8
الرجل,براز,0.0
الداخلي,سفلي,0.3
الجمعيات,تبرؤ,0.075
الحادية,متوسط,0.2
راديو,نقل,0.2
تكمن,يسكن,0.0
قوانين,توراة,0.8
بلورات,تبلور,0.9
الشاب,انقطاع,0.0
عقود,دلالة,0.4
استهلاك,ابتلاع,0.2
برز,نتأ,0.6
الغازية,تابع,0.0
ميزان,ديمقراطية,0.2
ورد,صياغة,0.6
لكن,مجرد,0.0
الأدنى,بعيدا,0.0
م,ألف,0.0
العبارة,صياغة,0.6
الحروب,ضرورة,0.15
اهتمامات,متذكر,0.6
الفتى,ابنة,1.0
الكامل,انصرف,0.0
هامة,الاستيراد,0.0
ثابت,مجموعة,0.0
ويقول,حالة,0.0
هجمات,الدفاع,1.0
داخلي,خارجي,0.9
تفجيرات,قصف,0.9
عانى,عمل,0.225
وجوه,تجنب,0.0
الإستراتيجية,مخطط,0.8
تابع,اتحاد,0.6
الغربية,الشرقية,1.0
نصف,كامل,0.7
الأنباء,استخبارات,0.8
أنشئت,تشكل,0.8
يتغير,سخر,0.0
وراء,ردفان,0.0
متكرر,نادر,0.8
عارضة,تهادى,0.0
الدرجة,صنف,0.3
افتتح,إغلاق,0.95
المتحركة,حياة,0.3
الرابطة,صلة,1.0
ببعض,وصفي,0.0
الدولي,خارجي,0.8
تلعب,ضيق,0.0
الحزم,اغلاق,0.3
الحجري,حفرة,0.4
بدولة,قل,0.0
الاتحادية,صحيح,0.0
بقرية,بلدة,0.8
جنوبية,مشروع,0.0
هام,تافه,0.925
بث,هواء,0.7
ذكية,التحدي,0.0
اضطراب,أقول,0.0
منتخب,مشاة,0.075
عاصمتها,رائعة,0.0
دائمًا,أبدا,0.7
بقيت,جولة,0.2
إحياء,تراكم,0.0
منزل,بعيدا,0.0
أيقونة,صورة,0.775
إعداد,حالة,0.4
الخدمة,خدمة,1.0
الكبار,صحراء,0.0
اضافة,دمج,0.6
بتنظيم,نظمت,0.95
كلمات,غنائية,0.4
رياح,منفس,0.2
مسرحيات,ضيق,0.0
يشير,بطلان,0.0
كاتب,مؤلف,1.0
دلتا,تشكيل,0.0
انتخب,ملجأ,0.0
الإرهاب,إكراه,0.7
مصدر,بالوعة,0.6
الرائد,افتح,0.3
بعثة,تهمة,0.0
بإطلاق,ألغى,0.7
أشكال,تنظم,0.55
حرة,الحب,0.3
رمز,صفر,0.4
الحاد,مزمن,0.0
القديمة,جديد,1.0
الفيزيائي,إكراهي,0.0
المحترفين,الهاوي,0.4
يثبت,دحض,1.0
أفلح,الناس,0.0
الظاهرة,تنمية,0.5
مقابل,عازم,0.1
بارتفاع,أسفل,0.7
القبول,الرفض,1.0
كل,لا,0.0
العصب,صلب,0.25
التجميع,تلفيق,0.625
ترجمة,أداء,0.2
مجمع,بسيط,0.0
إحسان,خير,0.925
أخضر,رصد,0.0
والعدالة,إنصاف,1.0
سلف,ضع,0.0
كافة,لا,0.65
مزايا,بالضرورة,0.0
عصبة,زمرة,0.8
سابقون,أخير,0.65
الحيوية,حرج,0.8
ملعب,منتجع,0.65
طباعة,نشر,0.65
الملكة,بقايا,0.0
حد,ابدأ,0.6
الحاصل,عدد,0.45
موسيقية,لحني,0.6
داخلية,خارجي,0.8
هامش,الحدود,0.8
يولد,تؤدي,0.0
خسر,دائرة,0.0
صوتية,صحي,0.025
عقوبة,مكافأة,0.8
يدعي,انتحل,0.8
ضروري,ضرورة,1.0
محاذاة,مزرق,0.1
استمرار,الطليعية,0.4
القلعة,اذهب,0.0
اجتمع,يوسف,0.0
البعثة,تهمة,0.0
منحه,جرف,0.0
الثوري,متطرف,0.6
البيوت,مرر,0.0
الإلكترونية,توكوفيرول,0.0
مدرس,معلم,1.0
أزمة,مرحلة,0.35
تمنح,عرض,0.3
مخصص,جاهز,0.0
يتيمة,نشط,0.0
هوامش,الحدود,0.6
الكوميديا,مأساة,0.5
التقرير,وصف,0.5
مركز,اليسار,0.525
الضعف,قوة,0.95
الحقيقي,موجود,0.5
منخفضة,ارتفاع,0.8
قلبية,تعارض,0.7
الجغرافي,قل,0.0
بنو,ابنة,1.0
الحضرية,الريف,0.8
الممكن,محتمل,1.0
الإصدار,اتركها,0.0
المباراة,تعارض,0.65
التحقق,تأكيد,0.6
نار,مصطنع,0.0
الجملة,تبرئة,0.05
يضع,مجموعة,0.0
السفلى,دائري,0.25
مقابلة,سؤال,0.8
الأساطير,قصة,0.8
تمنع,الاختيار,0.375
الترجيح,الوزن,0.8
داخل,خارج,1.0
صخور,تمايل,0.6
يقلل,حركة,0.2
السير,رجل,0.0
ظهر,اخرج,0.8
تشبه,مماثل,0.975
عامًا,سن,1.0
الناس,يسكن,0.0
سند,ضرب,0.4
يفتح,إغلاق,1.0
نصب,ألغى,0.25
بن,تخزين,0.6
قانوني,صوت,0.0
بت,بقعة,0.0
منازل,سلطات,0.05
الصغار,حفظ,0.45
عبرية,عبري,1.0
اليمين,صحيح,0.0
بلده,مرحبا,0.6
عملاقة,أخرق,0.1
عرف,استعمال,0.0
وتوجد,تطور,0.067
المركز,اليسار,0.0
الإجتماعية,المجتمعية,1.0
فرق,إمبراطوري,0.0
تتمتع,إفراديا,0.0
المقام,ضع,0.1
إطلاق,اتركها,0.4
الآلية,تنفيذ,0.2
أمره,مضطرب,0.0
الموافقة,استنكار,0.875
البالغين,جزيء,0.0
ربط,قطع,1.0
الجاذبية,جاذبية,1.0
السائد,سائد,1.0
الرضا,استياء,0.7
يكن,غير,0.0
تركيز,خاصية,0.425
الأسبق,استراحة,0.0
النخيل,مقبض,0.025
آخرون,نفسه,0.6
الرقمي,فطري,0.1
يحضر,بحث,0.25
يجد,بالتأكيد,0.1
تشتمل,استبعد,0.35
مرتفعة,بارز,1.0
طبية,جراحي,0.8
بنات,صبي,0.925
معاداة,المؤيد,0.8
خرج,مجموعة,0.3
الأركان,تلبية,0.3
معقدة,منظم,1.0
ذروة,تكبد,0.6
جبهة,خلفي,0.8
طور,تتطور,0.925
طيران,ريش,0.65
غلوب,أرض,0.0
معرف,ايداهو,0.0
تجهيز,قرار,0.8
عملت,مستغل,0.0
عسكري,انضباط,0.6
كونت,عدد,0.0
تتوقف,فصيل,0.0
غزو,زحف,0.6
المتعددة,المنتج,0.125
ركوب,سير,0.7
كلها,لا,0.7
الكلية,الجسم,0.4
أبرز,وحشي,0.0
الكثافة,قيادة,0.0
لعائلة,الأسرة,1.0
الجوف,فارغة,0.8
الوقوف,هراوة,0.0
عرش,توج,1.0
ضوء,ظلام,1.0
المسافة,ابتز,0.0
المعتمد,مواطن,0.0
اعتبار,طيش,0.0
كلية,الجسم,0.3
جيدة,سيئة,1.0
المقدسة,مكان,0.0
الواسعة,اختيار,0.0
يخص,استخف,0.0
الكرة,لفة,0.3
امبراطورية,الامبرياليين,0.925
الأحمر,برهن,0.0
أصدقاء,عدو,0.8
المنفى,فرصة,0.05
الإفراج,قلعة,0.2
القوية,العاجز,1.0
مستقبل,الماضي,0.9
اقترح,بطلان,0.0
انتشار,طية,0.3
الارتفاعات,منخفض,0.8
مقاس,صنف,0.0
تجنب,مواجهة,0.7
أضف,ألحق,0.5
الجانبية,أختر,0.0
ذكور,أنثى,0.9
ساعد,مساعدة,1.0
استخدامها,استغلال,0.6
وهناك,هنا,0.8
سوء,مريض,0.6
الإثنية,ثقافي,0.4
العقل,أغلق,0.3
البنات,دفن,0.0
المخطط,تآمر,0.7
شهد,قطع,0.0
جهة,استبصار,0.7
أوائل,ارتفاع,0.15
النحاس,معطف,0.1
الأرضية,الشكل,0.225
يتسبب,فعل,0.575
أبا,قماش,0.0
المزيد,أكثر,1.0
المختصر,حفر,0.0
جميعا,لا,0.0
النقدية,احتفظ,0.2
التقدم,ثبت,0.7
بناه,عززت,0.6
الثقيل,نشبة,0.0
مفتاح,تجبر,0.175
ثانياً,تشكل,0.0
ارض,اجلس,0.2
شائعة,متبادل,0.0
البحوث,بحث,0.7
مبارك,تشكيل,0.0
تعرضت,الآنسة,0.2
الطبيعي,غريزي,0.8
جرى,واشنطن,0.0
روابط,الانقطاع,0.85
الدوران,ثورة,0.3
ثوم,توعك,0.0
أغلب,حول,0.3
وظل,النصرانية,0.0
تسلسل,تأكد,0.05
انتهى,ابدأ,1.0
خضراء,ناضجة,0.65
الفردية,مشترك,0.5
قنابل,مرر,0.0
للثقافة,حضارة,0.8
السد,منع,1.0
ليست,غير,0.6
إنشاء,صنع,1.0
لمشروع,نتأ,0.0
نشاطها,مشدود,0.4
سقط,حملة,0.4
حاجة,تجنب,0.2
النوم,الاحتجازية,0.0
اجتماعي,انطوائي,1.0
النار,تفريغ,0.0
يزداد,بارز,0.0
الدعم,نشر,0.2
مهاجمو,معتدي,0.65
ومعظم,الأقل,1.0
التنسيق,محترس,0.0
مبكر,سابق,0.75
الجدل,خلاف,0.5
يدعو,اسم,0.45
العادية,استثنائي,0.8
البر,إثم,0.6
درع,شاشة,0.0
اسفل,بارز,0.4
النووية,تقليدي,0.0
للجمعية,إيجاد,0.0
عضلة,مرر,0.0
خلفية,عززت,0.25
الراديو,نقل,0.0
شديد,النابليون,0.0
الخلافات,الانحراف,0.475
تغطية,التقارير,0.5
تخفيف,حل,0.8
الميناء,طازج,0.0
أطلقت,ألغى,0.8
يمثل,الوقوف,0.0
احتياجات,بالضرورة,1.0
صورة,تصور,1.0
تكامل,فصل,1.0
الصيانة,رعاية,0.2
كلاسيكية,فنان,0.6
جعله,فشل,0.25
الفوائد,ربح,0.75
بشكلٍ,تنظم,0.0
نجح,فشل,0.85
بدوره,عبور,0.2
متكررة,نادر,0.75
المختلفة,حضن,0.0
الأحداث,حالة,0.2
بتاريخ,مقيدة,0.5
لعبت,ضيق,0.025
طول,بعد,0.65
ميدان,إجابة,0.0
منهج,برنامج,1.0
نابليون,بونابرت,1.0
مناسبة,سبب,0.5
وطني,مجلس,0.6
الدواء,جرعة,0.6
الفعالة,فعال,1.0
فقط,منصف,0.0
يرجع,المستحقة,0.6
حمص,شواء,0.0
تكونت,متخيل,0.3
أحدث,عصري,1.0
قريب,قيادة,0.0
رابطة,تبرؤ,0.0
يجعل,مرحبا,0.0
عجز,معرفة,0.0
المحترفة,الهاوي,0.85
مختلف,شريعي,0.0
ولعل,ربما,1.0
خارجي,مساعد,0.2
شرعية,لاشرعية,0.85
يلاحظ,تجاهل,0.4
بد,عفونة,0.0
ذاته,تكرر,0.4
فائزون,خطي,0.0
قصور,انجازات,0.6
مدرجة,المسجلين,0.6
قرب,بعيدا,0.95
علاقات,الانقطاع,0.75
زادت,انخفاض,0.75
الشرف,خزي,0.8
المواد,معلقة,0.0
حكاية,سرد,1.0
مقال,ربط,0.0
الإطارات,نكهة,0.0
يستطيع,قصدير,0.0
نقدية,محطة,0.0
مفتوح,منحل,0.225
اعتبر,رؤية,0.6
قمة,تحقيق,0.25
تأهل,قرية,0.0
طرح,علامة,0.2
دوريات,شرطة,0.7
نيس,فرد,0.0
مخصصة,استعمال,0.4
بينما,قطعة,0.0
شغل,فارغة,0.8
المدني,مهذب,0.2
ويوجد,موقع,0.0
بتعديل,وصف,0.15
كن,اختلف,0.0
طروادة,مدينة,0.2
الأوساط,تعميم,0.0
والد,انجب,0.6
استمر,نقل,0.4
الطبية,المدعو,0.0
الأمان,خطر,0.9
تنس,التنس,0.6
أخبار,استخبارات,1.0
ينتهي,ابدأ,0.8
بتقديم,عرض,0.6
يرفع,انصرف,0.0
